ts\tplayers\tfrags
2026-04-24T15:56:29.1616273+03:00	0	0
2026-04-24T15:56:31.4019893+03:00	4	0
2026-04-24T15:56:33.5995413+03:00	25	0
2026-04-24T15:56:35.7723574+03:00	33	0
2026-04-24T15:56:37.9655663+03:00	37	0
2026-04-24T15:56:40.1592463+03:00	48	0
2026-04-24T15:56:42.3862926+03:00	57	110
2026-04-24T15:56:44.8064787+03:00	60	242
2026-04-24T15:56:47.0329584+03:00	64	418
2026-04-24T15:56:49.2398952+03:00	69	561
2026-04-24T15:56:51.5091332+03:00	72	594
2026-04-24T15:56:53.7332802+03:00	76	594
2026-04-24T15:56:56.0294024+03:00	77	594
2026-04-24T15:56:58.2846400+03:00	81	594
2026-04-24T15:57:00.5289254+03:00	94	594
2026-04-24T15:57:02.7237117+03:00	97	594
2026-04-24T15:57:04.9663104+03:00	97	594
2026-04-24T15:57:07.2024275+03:00	97	594
2026-04-24T15:57:09.4986228+03:00	98	594
2026-04-24T15:57:11.7297284+03:00	106	594
2026-04-24T15:57:13.9547245+03:00	115	693
2026-04-24T15:57:16.1536817+03:00	120	693
2026-04-24T15:57:18.3442514+03:00	120	693
2026-04-24T15:57:20.5278072+03:00	125	737
2026-04-24T15:57:22.7620165+03:00	125	902
2026-04-24T15:57:25.0904769+03:00	125	1067
