ts\tplayers\tfrags
2026-04-24T15:57:36.7638838+03:00	0	0
2026-04-24T15:57:39.0018951+03:00	1	0
2026-04-24T15:57:41.1842604+03:00	1	0
2026-04-24T15:57:43.4011912+03:00	1	0
2026-04-24T15:57:45.6248166+03:00	1	0
2026-04-24T15:57:47.8359497+03:00	1	0
2026-04-24T15:57:50.0358304+03:00	1	0
2026-04-24T15:57:52.3598597+03:00	1	0
2026-04-24T15:57:54.6748318+03:00	1	0
2026-04-24T15:57:57.1503429+03:00	1	0
2026-04-24T15:57:59.3493711+03:00	1	0
2026-04-24T15:58:01.5425636+03:00	1	0
2026-04-24T15:58:03.7392657+03:00	1	0
2026-04-24T15:58:05.9399229+03:00	1	0
2026-04-24T15:58:08.3669877+03:00	1	0
2026-04-24T15:58:10.5730814+03:00	2	0
2026-04-24T15:58:12.7716922+03:00	2	0
2026-04-24T15:58:14.9902428+03:00	2	0
2026-04-24T15:58:17.1909011+03:00	2	0
2026-04-24T15:58:19.4059724+03:00	2	0
2026-04-24T15:58:21.6653009+03:00	2	0
2026-04-24T15:58:23.9309656+03:00	2	0
2026-04-24T15:58:26.1177131+03:00	2	0
2026-04-24T15:58:28.4101247+03:00	2	0
2026-04-24T15:58:30.6637926+03:00	2	0
2026-04-24T15:58:32.9007538+03:00	2	0
2026-04-24T15:58:35.1003657+03:00	2	0
2026-04-24T15:58:37.2920897+03:00	2	0
2026-04-24T15:58:39.5063583+03:00	2	0
2026-04-24T15:58:41.7103584+03:00	2	0
2026-04-24T15:58:43.9121901+03:00	2	0
2026-04-24T15:58:46.1279409+03:00	2	0
2026-04-24T15:58:48.3920490+03:00	2	0
2026-04-24T15:58:50.5938521+03:00	3	0
2026-04-24T15:58:52.8155240+03:00	3	0
2026-04-24T15:58:55.0265864+03:00	3	0
2026-04-24T15:58:57.3329578+03:00	3	0
2026-04-24T15:58:59.5737677+03:00	3	0
2026-04-24T15:59:01.7889500+03:00	3	0
2026-04-24T15:59:04.0057826+03:00	3	0
2026-04-24T15:59:06.1905193+03:00	3	0
2026-04-24T15:59:08.4529003+03:00	3	0
2026-04-24T15:59:10.6948359+03:00	3	0
2026-04-24T15:59:12.9043510+03:00	3	0
2026-04-24T15:59:15.0828808+03:00	3	0
